state,total_population,age_mean,age_elderly_pct,age_children_pct,sex_female_pct,race_white_pct,race_black_pct,race_other_pct,urbanicity_index,cvd_death_rate,cvd_incidence_rate,number_efforts,number_efforts_children,number_efforts_elderly,number_efforts_educational_campaign,number_efforts_institutional_procurement,number_efforts_nutrition_standards,number_efforts_product_reformulation,number_efforts_school,median_household_income,number_efforts_cat1,number_efforts_cat5,number_efforts_cat3,number_efforts_children_cat,number_efforts_elderly_cat
AK,568045.153846154,30.4674406525,0.0544652414807692,0.322289637557692,0.474358494769231,0.749154403230769,0.0404701343846154,0.210375462442308,38.4666666666667,134.457590283333,639.056830813333,0,0,0,0,0,0,0,0,52664.8,0,0,0,0,0
AL,4258898.17307692,35.3948980884615,0.128539244019231,0.284896951461539,0.517771231192308,0.726287847673077,0.261398462192308,0.0123136901923077,41.7666666666667,354.122032216667,1107.9712985,2,0,0,1,1,1,0,0,34156.6857142857,1,2,2,0,0
AR,2535809.90384615,36.0169178382692,0.143198660653846,0.285037773576923,0.513458586673077,0.821298711096154,0.163196132461538,0.0155051563846154,35.0333333333333,387.292799643333,1170.87652383333,2,0,0,0,0,0,0,0,31742.9428571429,1,2,2,0,0
AZ,4462617.73076923,34.8068340401923,0.12945208175,0.290523879730769,0.504500422903846,0.884279405173077,0.0379118159807692,0.0778087789230769,59.2583333333333,264.227969936667,1046.47544137,2,1,0,0,1,0,0,1,39690.5714285714,1,2,2,1 or more,0
CA,30689323.7884615,34.1805451782692,0.109316972884615,0.28360770025,0.503331100519231,0.807895763115385,0.0745730567692308,0.117531180173077,79.8,246.686967733333,890.58200263,14,3,0,0,1,3,0,2,46243.5428571429,1,5 or more,3 or more,1 or more,0
CO,3904270.19230769,33.9405864957692,0.100775564288462,0.281828129057692,0.500805137423077,0.923192136211538,0.0421899338653846,0.0346179299615385,66.5166666666667,203.528524973333,787.855327843333,3,2,0,0,2,0,0,2,47646.4857142857,1,3,3 or more,1 or more,0
CT,3333777.90384615,36.6020445907692,0.133321206884615,0.264016919288462,0.515092293480769,0.879024006230769,0.0936360981538462,0.0273398956923077,74.95,295.434076793333,1139.1737557,3,0,0,0,0,0,0,0,52585.2571428572,1,3,3 or more,0,0
DC,637796.384615385,35.4952242501923,0.116410633596154,0.224123956788462,0.531358379865385,0.347437843326923,0.622351286961538,0.0302108697692308,100,369.24979297,992.26972307,5,2,0,0,2,0,0,1,43921.6857142857,1,5 or more,3 or more,1 or more,0
DE,741171.461538462,35.5039140386539,0.125620491826923,0.275100969057692,0.515289470192308,0.784984036288462,0.189999372,0.0250165917307692,63.3333333333333,305.68542621,1119.36205543333,2,0,0,0,0,0,0,0,44684.4571428571,1,2,2,0,0
FL,14295592.2307692,38.5858559321154,0.175893287846154,0.246959433519231,0.514572588038462,0.826640854038462,0.152844701365385,0.0205144445961538,63.6166666666667,376.10904183,1463.20185033333,0,0,0,0,0,0,0,0,37104.6857142857,0,0,0,0,0
GA,7455763.61538462,33.6557223953846,0.101912709057692,0.294613938038462,0.513257103096154,0.688431396865385,0.288376239519231,0.0231923635384615,46.6416666666667,259.92457681,937.37895695,1,0,0,0,0,0,0,0,39156.5428571429,1,1,1,0,0
HI,1151084.34615385,34.8348347576923,0.116920273230769,0.274814355596154,0.492361897903846,0.269198749884615,0.0233400906153846,0.707461159519231,66.3333333333333,251.125237006667,1053.41331196667,1,1,0,0,1,0,0,1,50293.0285714286,1,1,1,1 or more,0
IA,2932521.48076923,36.2926485628846,0.1464259105,0.280663094288462,0.510309539692308,0.960011477634615,0.0239900120769231,0.0159985103076923,48.0916666666667,362.393508163333,1106.5057679,2,0,1,0,1,0,0,0,41084.0571428571,1,2,2,0,1 or more
ID,1209089.25,33.7253972515385,0.116563304365385,0.317797945557692,0.499923783769231,0.967638705615385,0.00599287911538462,0.02636841525,42.5833333333333,253.073300096667,873.528686386667,1,1,0,0,1,0,0,1,38626.5428571429,1,1,1,1 or more,0
IL,12009200.3269231,35.1249912092308,0.122103420653846,0.282673146826923,0.512203625461538,0.815661907826923,0.148625884884615,0.0357122073461538,76.425,308.55550541,1018.54017653667,6,5,0,0,0,0,0,5,43878.7142857143,1,5 or more,3 or more,1 or more,0
IN,5904281.32692308,34.9919148436539,0.122528925365385,0.287963158230769,0.511254501711538,0.900545612230769,0.0856075502692308,0.0138468373461538,58.1166666666667,321.708517943333,1146.6876025,1,0,0,0,1,0,0,0,39000.5428571429,1,1,1,0,0
KS,2587873.40384615,35.4402341273077,0.134497675211538,0.285626583115385,0.507100754769231,0.912477889096154,0.0602656377884615,0.0272564730576923,52.3,317.165340943333,1009.53539021,0,0,0,0,0,0,0,0,39613.5428571429,0,0,0,0,0
KY,3913625.11538462,35.3640321534615,0.126247711153846,0.281482878615385,0.51092094875,0.91359566225,0.0767196799615385,0.00968465790384615,40.2666666666667,338.972847616667,1211.26793416667,4,1,3,0,2,0,0,1,34122.0285714286,1,4,3 or more,1 or more,1 or more
LA,4323417.92307692,33.8863883009615,0.112835718826923,0.304437416865385,0.51440697475,0.668760076980769,0.314611473884615,0.0166284491923077,53.3083333333333,325.702922943333,1149.45605623333,6,2,1,0,1,1,0,2,33274.3142857143,1,5 or more,3 or more,1 or more,1 or more
MA,6190364.19230769,36.426071125,0.135016610480769,0.257376276365385,0.519253792596154,0.900180991980769,0.0620565091153846,0.037762499,87.3916666666667,291.980885486667,1151.94274016667,6,0,0,0,3,0,0,0,49542.5714285714,1,5 or more,3 or more,0,0
MD,5016050.75,34.9913213419231,0.110669922519231,0.276157643365385,0.515403415153846,0.694626716442308,0.263912889096154,0.0414603944807692,69.4083333333333,279.551046326667,1083.73909386667,4,0,0,0,0,2,0,0,53736.0857142857,1,4,3 or more,0,0
ME,1221834.48076923,37.0950564169231,0.144867342730769,0.266083215942308,0.512433427346154,0.979208574769231,0.00813483344230769,0.0126565918269231,42.7833333333333,326.36297821,1241.29494436667,1,0,1,0,1,0,0,0,38517,1,1,1,0,1 or more
MI,9555786.32692308,35.0920801605769,0.121467043903846,0.287525991692308,0.510760201480769,0.838028933480769,0.138785818673077,0.0231852478076923,65.8416666666667,337.21285896,1167.73191196667,0,0,0,0,0,0,0,0,41994.2857142857,0,0,0,0,0
MN,4667091.11538462,35.0970814738462,0.125590130423077,0.287547567557692,0.506747173461538,0.927200367846154,0.0352663350192308,0.0375332971730769,56.85,254.5687761,928.793127776667,1,0,0,0,0,0,0,0,47827.4571428571,1,1,1,0,0
MO,5397399.57692308,36.0727195517308,0.138524460442308,0.277555389903846,0.514877246653846,0.870961739826923,0.112757063846154,0.0162811963653846,58.5833333333333,357.89003289,1209.609322,1,0,1,0,1,0,0,0,39646.1714285714,1,1,1,0,1 or more
MS,2701239.44230769,34.2911400955769,0.123745024673077,0.307981869269231,0.51705454325,0.624333492673077,0.365324020923077,0.0103424864807692,31,370.16521783,1033.96519873667,4,0,0,0,0,0,0,0,29897.7714285714,1,4,3 or more,0,0
MT,875715.346153846,35.7536413584615,0.132592747538462,0.286123533884615,0.500493851673077,0.929762096,0.00471717926923077,0.0655207248076923,44.6416666666667,291.909099423333,1042.02837615333,1,0,0,0,0,0,0,0,34942.5428571429,1,1,1,0,0
NC,7550088.88461538,35.1222464625,0.119425528403846,0.275218460365385,0.513101070903846,0.749204975942308,0.223415146846154,0.02737987725,36.6416666666667,300.013855013333,1008.19513381667,4,0,0,0,2,0,0,0,36758.7714285714,1,4,3 or more,0,0
ND,666067.942307692,35.2752998771154,0.136218339673077,0.285830674769231,0.496355708134615,0.937416525865385,0.0110349083076923,0.0515485658269231,32.7583333333333,326.449584643333,1062.14947793,0,0,0,0,0,0,0,0,39138.6571428571,0,0,0,0,0
NE,1681359.48076923,35.4251662586539,0.136609228403846,0.289701508461538,0.508175405788462,0.93625888775,0.041182762,0.0225583501346154,49.175,308.094140666667,995.099139336667,0,0,0,0,0,0,0,0,41417.2,0,0,0,0,0
NH,1118756.09615385,35.9794111823077,0.125865028211538,0.26955368425,0.508902445884615,0.974416882961538,0.00956212182692308,0.0160209952692308,55.525,275.405012843333,1051.97374443333,0,0,0,0,0,0,0,0,52146.8,0,0,0,0,0
NJ,8077419.07692308,36.2969537834615,0.129188093884615,0.268268445019231,0.515646875730769,0.806752321115385,0.139112374076923,0.0541353047115385,85.225,312.393282193333,1206.25164586667,5,0,0,0,2,0,0,0,52420.8571428571,1,5 or more,3 or more,0,0
NM,1648932.23076923,33.8131686730769,0.113180865461538,0.309993115153846,0.506745211,0.869852923846154,0.0234892499615385,0.106657826153846,49,236.980007416667,910.605460053333,2,0,0,0,2,0,0,0,34124.3428571429,1,2,2,0,0
NV,1678763.34615385,34.6410463098077,0.106816986480769,0.275400874288462,0.4933081555,0.854674271884615,0.0773506668461538,0.06797506125,58.1583333333333,247.839544593333,999.528727763333,2,0,0,0,1,1,1,0,42431.4285714286,1,2,2,0,0
NY,18601589.1923077,36.1641914921154,0.130697073057692,0.264347796538462,0.519370797557692,0.779396212038462,0.164556894923077,0.0560468929615385,83.4833333333333,331.82556154,1252.5150976,6,1,1,0,2,1,0,0,41598.6571428571,1,5 or more,3 or more,1 or more,1 or more
OH,11147775.9807692,35.6642571898077,0.128723253326923,0.281022748,0.514556932692308,0.87133192325,0.114390289692308,0.0142777871346154,68.6666666666667,348.976282833333,1234.51672813333,3,0,0,0,2,0,0,0,40110.3142857143,1,3,3 or more,0,0
OK,3334927.28846154,35.4069304530769,0.132212980076923,0.285128282942308,0.509314563730769,0.828366714480769,0.0773282088846154,0.0943050767115385,47.7833333333333,373.66676096,1145.52565656667,2,0,1,0,1,0,0,0,35563,1,2,2,0,1 or more
OR,3155566.21153846,36.0707843544231,0.133351246038462,0.270179620326923,0.506478213923077,0.934382799173077,0.0192129589230769,0.0464042418076923,59.0833333333333,293.76360988,976.36056897,2,0,0,0,0,0,0,0,41720.2857142857,1,2,2,0,0
PA,12216571.1730769,37.2294323026923,0.147422804769231,0.261228017692308,0.517087831423077,0.877830076673077,0.102466892038462,0.0197030313269231,68.5083333333333,382.40846679,1367.28152406667,5,4,0,2,0,0,0,4,41469.6,1,5 or more,3 or more,1 or more,0
RI,1012904.09615385,36.8276742490385,0.142622183134615,0.255046083403846,0.518232303346154,0.916366859519231,0.0557799322307692,0.0278532082307692,88.9666666666667,346.110184843333,1211.2802681,3,1,0,1,1,0,0,1,43231.5714285714,1,3,3 or more,1 or more,0
SC,3809853.28846154,34.6816982059615,0.117880108538462,0.286690849980769,0.513830991596154,0.691168488826923,0.296102639326923,0.0127288719038462,37.7166666666667,314.433983963333,1080.6145219,0,0,0,0,0,0,0,0,36271,0,0,0,0,0
SD,747883.903846154,35.4433440259615,0.141297178230769,0.298172005096154,0.503230511980769,0.905795733038462,0.00962974125,0.0845745257115385,33.7416666666667,332.134858006667,1037.95253412667,2,1,0,0,0,0,0,1,37707.1714285714,1,2,2,1 or more,0
TN,5358424.05769231,35.5713832246154,0.125922455442308,0.275271966057692,0.515098913019231,0.822391137711539,0.165050006653846,0.0125588555192308,44.9,354.506948183333,1115.47166776667,4,1,0,0,1,0,0,1,34530.0857142857,1,4,3 or more,1 or more,0
TX,19445986.6923077,33.0812414332692,0.101370252076923,0.307279820557692,0.505995104692308,0.844186514923077,0.123081738134615,0.0327317468461539,58.7083333333333,244.663957063333,911.004989086667,9,7,0,0,0,0,0,3,39337.2571428572,1,5 or more,3 or more,1 or more,0
USA,266000083.480769,35.2688184144386,0.124631709034466,0.280245874585689,0.510908081717618,0.827642235302463,0.126469550233462,0.0458882139692568,63.7583333333333,303.108301976667,1083.02539146667,0,0,0,0,0,0,0,0,41437.1428571429,0,0,0,0,0
UT,2054486.38461538,30.1321943740385,0.0859604687884615,0.361602042615385,0.500850674307692,0.951479863730769,0.0102579143269231,0.0382622218461539,67.5916666666667,180.887698713333,659.06551334,3,1,0,0,2,0,0,1,46647.8571428571,1,3,3 or more,1 or more,0
VA,6635364.80769231,34.8639542307692,0.110695296634615,0.271932589942308,0.509027653480769,0.764154464576923,0.196336071423077,0.0395094640576923,49,259.40518986,972.066211316667,1,1,0,0,1,0,0,1,48915.8,1,1,1,1 or more,0
VT,566137.288461539,36.1197688303846,0.131598989134615,0.269654125153846,0.509630441711539,0.980684567519231,0.00722083228846154,0.0120946001730769,33.2166666666667,289.86678082,1049.4384253,2,0,0,0,1,1,0,0,43194.6285714286,1,2,2,0,0
WA,5377880.80769231,35.0457752586539,0.117238568365385,0.276900492596154,0.502504332442308,0.888983668365385,0.0359471208076923,0.0750692108653846,64.9166666666667,255.414558483333,907.650674283333,11,0,0,0,1,1,0,0,47010.3428571429,1,5 or more,3 or more,0,0
WI,5145772.92307692,35.6393441132692,0.132152123365385,0.28281076975,0.50725077925,0.922040893480769,0.0537864221923077,0.0241726844807692,57.575,308.945405743333,1049.64752120667,1,1,0,0,1,0,0,1,43152.7714285714,1,1,1,1 or more,0
WV,1839556.13461538,37.2608352317308,0.148049157480769,0.263326633903846,0.512936362942308,0.957895810307692,0.0354139310576923,0.00669025871153846,32.7083333333333,414.854325083333,1390.68465413333,3,3,0,0,3,0,0,2,31331.8857142857,1,3,3 or more,1 or more,0
WY,588375.25,34.2024239096154,0.110470302923077,0.298273220615385,0.493650979288462,0.959105223634615,0.0113399423076923,0.02955480525,48.4083333333333,248.877627876667,912.262509043333,0,0,0,0,0,0,0,0,41501.3142857143,0,0,0,0,0
