DrTomFrieden,BruceNeal1,SimonCapewell99,KBibbinsDomingo,Dmozaffarian,DrSaccoNeuro,dmljmd,jesse8850,braun_lynne,chanders4,KulikovUNIATF,MillionHeartsUS,CDCgov,US_FDA,USDA,USDANutrition,FDAfood,CDCDirector,WHO,nycHealthy,HHSGov,TeamNutrition,American_Heart,CSPI,PublicHealth,WASHSALT,ResolveTSL,HarvardChanSPH,HSPHnutrition,actiononsalt,HarvardHealth,UWMedicine,GeneralMills
12672.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,4.0,0.0,6.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,104.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0
2.0,8.0,261.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,3.0,51.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0
4.0,0.0,1.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0,0.0,1753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5268.0,11.0,1.0,1.0,0.0,1.0,12.0,0.0,3.0,9.0,2.0,67.0,7.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4304.0,1.0,0.0,4.0,2.0,7.0,0.0,4.0,1.0,1.0,16.0,16.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0
0.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2266.0,1.0,1.0,7.0,2.0,0.0,6.0,14.0,0.0,5.0,101.0,4.0,18.0,8.0,5.0,4.0,7.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,300.0,13.0,0.0,0.0,0.0,1.0,0.0,12.0,1.0,60.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,13.0,732.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,1.0,1083.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,2.0,0.0,0.0,0.0,1058.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55593.0,0.0,1.0,0.0,0.0,8.0,1.0,101.0,19.0,1.0,0.0,41.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,1.0,0.0,1.0,1.0,0.0,2830.0,0.0,0.0,7.0,35.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,14.0,0.0,0.0,1.0,1.0,1.0,0.0,1328.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,678.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,67.0,16.0,5.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,1.0,26395.0,77.0,0.0,10.0,3.0,0.0,0.0,6.0,0.0,2.0,2.0
4.0,1.0,51.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,101.0,60.0,3.0,1.0,0.0,8.0,35.0,3.0,4.0,77.0,8993.0,5.0,40.0,1.0,1.0,2.0,27.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,811.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,18.0,1.0,1.0,2.0,0.0,101.0,5.0,0.0,0.0,10.0,40.0,1.0,5145.0,65.0,0.0,0.0,178.0,0.0,0.0,0.0
16.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,3.0,1.0,0.0,65.0,1912.0,0.0,0.0,10.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3909.0,14.0,3.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,259.0,0.0,0.0,0.0,0.0
1.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,1.0,2.0,41.0,0.0,0.0,0.0,6.0,27.0,0.0,178.0,10.0,3.0,0.0,10319.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7983.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0
